GEOID,county_name,total_population,equity_need_score,commute_burden_score,is_transit_desert,transit_access_index,median_household_income,predicted_burden_score,high_priority_flag
06001403401,Alameda,2717,0.4785,0.0887,0,0.1855600770195662,69984,0.1447,1
06001403402,Alameda,1134,0.4213,0.1222,0,0.4,89021,0.1347,1
06001403302,Alameda,2556,0.3161,0.1316,0,0.3241622203957202,148235,0.109,0
06001982100,Alameda,923,0.4875,0.0183,0,0.0970482280488818,-666666666,0.1232,0
06001420302,Alameda,2446,0.422,0.1162,0,0.000542120643056,121538,0.129,1
06001402801,Alameda,3254,0.4594,0.1502,0,0.3999999999999998,74931,0.1111,0
06001402802,Alameda,1430,0.4618,0.0881,0,0.4,-666666666,0.0663,0
06001420401,Alameda,1333,0.4686,0.0019,1,0.0,72708,0.0809,0
06001403301,Alameda,1830,0.4802,0.2752,0,0.7488999999999999,34417,0.1463,1
06001422902,Alameda,3022,0.4287,0.0962,0,0.5861418103357321,-666666666,0.087,0
06001422901,Alameda,2024,0.4238,0.0317,0,0.3999999999999998,49604,0.0669,0
06001420402,Alameda,1661,0.5246,0.0851,1,0.0,58835,0.139,1
06001420301,Alameda,2645,0.4227,0.1095,0,0.0778224468221465,113188,0.1079,0
06075020602,San Francisco,2564,0.1755,0.1348,0,0.7,196417,0.1064,0
06001450603,Alameda,4897,0.292,0.1087,0,0.0276804581501848,202238,0.1041,0
06001450604,Alameda,4993,0.3255,0.1219,1,0.0,180125,0.1017,0
06001450605,Alameda,3814,0.3543,0.1844,1,0.0,182500,0.1351,1
06001450606,Alameda,6028,0.3423,0.2415,1,0.0,235150,0.1377,1
06095980000,Solano,0,0.5477,0.0999,1,0.0,-666666666,0.1072,0
06001451701,Alameda,2936,0.3422,0.1696,1,0.0,186991,0.1034,0
06001451501,Alameda,4496,0.3974,0.23,1,0.0,168580,0.1171,0
06001408000,Alameda,2860,0.3321,0.1616,1,0.0,192159,0.11,0
06001441401,Alameda,7549,0.3202,0.0854,1,0.0,172083,0.1033,0
06001432400,Alameda,6346,0.5142,0.1294,0,0.0093115285385777,82424,0.1564,1
06001404300,Alameda,3587,0.2316,0.0435,0,0.0826655985349458,227237,0.1216,0
06041109002,Marin,4345,0.3748,0.102,1,0.0,144043,0.1037,0
06041130201,Marin,3367,0.289,0.0599,1,0.0,184814,0.1385,1
06041112202,Marin,5808,0.4342,0.0556,1,0.0,102944,0.1475,1
06041131100,Marin,1286,0.3345,0.1631,1,0.0,191042,0.1444,1
06041990100,Marin,0,0.5477,0.0999,1,0.0,-666666666,0.106,0
06097151405,Sonoma,7271,0.4945,0.0306,1,0.0,62696,0.0631,0
06097153302,Sonoma,5594,0.4581,0.0246,1,0.0,86294,0.0604,0
06097153708,Sonoma,1521,0.5445,0.136,1,0.0,65438,0.0979,0
06097152401,Sonoma,4417,0.3496,0.1127,1,0.0,159482,0.1153,0
06097151205,Sonoma,2410,0.4663,0.0717,1,0.0,92869,0.087,0
06097154308,Sonoma,935,0.5281,0.1672,1,0.0,86806,0.1079,0
06097153405,Sonoma,3704,0.4264,0.0742,1,0.0,110430,0.0385,0
06097154304,Sonoma,2010,0.5284,0.117,1,0.0,70450,0.1174,0
06081610700,San Mateo,6010,0.4151,0.0571,1,0.0,111467,0.0686,0
06081610800,San Mateo,4311,0.4456,0.0117,1,0.0,89178,0.0625,0
06081611000,San Mateo,6735,0.3244,0.0525,1,0.0,156595,0.0741,0
06081611200,San Mateo,2634,0.2616,0.0423,1,0.0,205917,0.0615,0
06095250701,Solano,3579,0.6127,0.2551,1,0.0,54634,0.1803,1
06095251000,Solano,2206,0.6214,0.2699,1,0.0,53607,0.2394,1
06095251300,Solano,3185,0.5363,0.2388,1,0.0,98523,0.1719,1
06001435104,Alameda,6856,0.4547,0.1726,0,0.0817194318106082,112692,0.1434,1
06001405301,Alameda,2872,0.4479,0.126,1,0.0,112656,0.0954,0
06001982000,Alameda,50,0.416,0.1429,0,0.0273218088205451,129167,0.1756,1
